CLID;Date;Vol
CL11420;03/31/2020;884
;04/30/2020;886
;05/31/2020;968
;06/30/2020;564
;07/31/2020;648
;08/31/2020;406
;09/30/2020;569
;10/31/2020;487
;11/30/2020;729
;12/31/2020;565
;06/30/2021;561
;05/31/2021;1014
;04/30/2021;878
;03/31/2021;922
;02/28/2021;668
;01/31/2021;725
CL13213;01/31/2020;1194
;02/29/2020;942
;03/31/2020;1448
;04/30/2020;1323
;05/31/2020;1573
;06/30/2020;820
;07/31/2020;1069
;08/31/2020;571
;09/30/2020;947
;10/31/2020;694
;11/30/2020;1197
;12/31/2020;822
;06/30/2021;846
;05/31/2021;1553
;04/30/2021;1344
;03/31/2021;1436
;02/28/2021;970
;01/31/2021;1207
CL13257;01/31/2020;532
;02/29/2020;760
;03/31/2020;682
;04/30/2020;984
;05/31/2020;760
;06/30/2020;681
;07/31/2020;457
;08/31/2020;528
;09/30/2020;377
;10/31/2020;606
;11/30/2020;534
;12/31/2020;681
;05/31/2021;764
;04/30/2021;973
;03/31/2021;688
;02/28/2021;750
;01/31/2021;554
CL17270;06/30/2020;1342
;07/31/2020;1526
;08/31/2020;958
;09/30/2020;1340
;10/31/2020;1150
;11/30/2020;1721
;12/31/2020;1342
;06/30/2021;1325
;05/31/2021;2403
;04/30/2021;2089
;03/31/2021;2185
;02/28/2021;1542
;01/31/2021;1804
CL22140;01/31/2020;12887
;02/29/2020;18411
;03/31/2020;16571
;04/30/2020;23929
;05/31/2020;18409
;06/30/2020;16572
;07/31/2020;11044
;08/31/2020;12885
;09/30/2020;9208
;10/31/2020;14725
;11/30/2020;12888
;12/31/2020;16571
;06/30/2021;17235
;05/31/2021;19146
;04/30/2021;23690
;03/31/2021;17229
;02/28/2021;19330
;01/31/2021;12826
CL22675;09/30/2020;1249
;10/31/2020;913
;11/30/2020;1574
;12/31/2020;1082
;03/31/2021;1945
;02/28/2021;1296
;01/31/2021;1568
CL23634;01/31/2020;756
;02/29/2020;954
;03/31/2020;955
;04/30/2020;1261
;05/31/2020;1058
;06/30/2020;855
;07/31/2020;654
;08/31/2020;656
;09/30/2020;554
;10/31/2020;760
;11/30/2020;759
;12/31/2020;857
;06/30/2021;865
;05/31/2021;1078
;04/30/2021;1305
;03/31/2021;950
;02/28/2021;968
;01/31/2021;749
CL24510;01/31/2020;945
;02/29/2020;941
;03/31/2020;1164
;04/30/2020;1276
;05/31/2020;1275
;06/30/2020;834
;07/31/2020;833
;08/31/2020;610
;09/30/2020;722
;10/31/2020;722
;11/30/2020;939
;12/31/2020;829
;06/30/2021;848
;05/31/2021;1326
;04/30/2021;1309
;03/31/2021;1173
;02/28/2021;935
;01/31/2021;973
CL28683;01/31/2020;188
;02/29/2020;168
;03/31/2020;226
;04/30/2020;223
;05/31/2020;247
;06/30/2020;142
;07/31/2020;163
;08/31/2020;101
;09/30/2020;142
;10/31/2020;123
;11/30/2020;183
;12/31/2020;144
;06/30/2021;145
;05/31/2021;244
;04/30/2021;226
;03/31/2021;227
;02/28/2021;172
;01/31/2021;190
CL29380;01/31/2020;391
;02/29/2020;553
;03/31/2020;498
;04/30/2020;719
;05/31/2020;555
;06/30/2020;499
;07/31/2020;338
;08/31/2020;391
;09/30/2020;279
;10/31/2020;447
;11/30/2020;390
;12/31/2020;500
;06/30/2021;505
;05/31/2021;574
;04/30/2021;747
;03/31/2021;515
;02/28/2021;564
;01/31/2021;404
CL31601;01/31/2020;16996
;02/29/2020;19114
;03/31/2020;21243
;04/30/2020;25486
;05/31/2020;23366
;06/30/2020;16995
;07/31/2020;14870
;08/31/2020;12746
;09/30/2020;12748
;10/31/2020;14871
;11/30/2020;16997
;12/31/2020;16997
;06/30/2021;17844
;05/31/2021;23129
;04/30/2021;26253
;03/31/2021;21877
;02/28/2021;19020
;01/31/2021;17843
CL33189;01/31/2020;13879
;02/29/2020;19822
;03/31/2020;17842
;04/30/2020;25770
;05/31/2020;19823
;06/30/2020;17845
;07/31/2020;11899
;08/31/2020;13879
;09/30/2020;9913
;10/31/2020;15858
;11/30/2020;13882
